order_id,step_id,exception_code,exception_label,minutes_added,rework_flag
BL-10201,stage_ship,missed_sla,Missed same-day dock,21.0,0
BL-10202,stage_ship,missed_sla,Missed same-day dock,13.7,0
BL-10203,stage_ship,missed_sla,Missed same-day dock,40.9,0
BL-10207,pack,damaged_carton,Damaged carton,10.1,0
BL-10211,stage_ship,label_mismatch,Label mismatch,11.3,1
BL-10212,qc,label_mismatch,Label mismatch,16.3,1
BL-10213,pick,short_pick,Short pick / slot empty,15.3,1
BL-10215,pick,short_pick,Short pick / slot empty,10.6,1
BL-10220,pick,short_pick,Short pick / slot empty,8.0,1
BL-10222,stage_ship,missed_sla,Missed same-day dock,3.0,0
BL-10223,stage_ship,missed_sla,Missed same-day dock,3.0,0
BL-10224,stage_ship,missed_sla,Missed same-day dock,0.2,0
BL-10230,slot_locate,weight_fail,In-line weight fail,14.2,1
BL-10230,pick,short_pick,Short pick / slot empty,9.8,1
BL-10236,qc,label_mismatch,Label mismatch,12.0,1
BL-10236,stage_ship,missed_sla,Missed same-day dock,0.9,0
BL-10237,pick,short_pick,Short pick / slot empty,15.8,1
BL-10238,stage_ship,missed_sla,Missed same-day dock,39.9,0
BL-10239,qc,weight_fail,In-line weight fail,4.0,1
BL-10240,stage_ship,missed_sla,Missed same-day dock,40.5,0
BL-10241,stage_ship,missed_sla,Missed same-day dock,28.8,0
BL-10242,qc,weight_fail,In-line weight fail,16.7,1
BL-10242,stage_ship,missed_sla,Missed same-day dock,8.1,0
BL-10244,stage_ship,missed_sla,Missed same-day dock,10.1,0
BL-10245,stage_ship,missed_sla,Missed same-day dock,1.1,0
BL-10246,stage_ship,missed_sla,Missed same-day dock,46.9,0
BL-10247,stage_ship,missed_sla,Missed same-day dock,4.1,0
BL-10258,stage_ship,missed_sla,Missed same-day dock,7.5,0
BL-10259,pack,damaged_carton,Damaged carton,11.0,0
BL-10259,stage_ship,missed_sla,Missed same-day dock,17.3,0
BL-10261,pick,short_pick,Short pick / slot empty,12.3,1
BL-10262,stage_ship,missed_sla,Missed same-day dock,1.3,0
BL-10264,pack,damaged_carton,Damaged carton,10.2,0
BL-10267,stage_ship,missed_sla,Missed same-day dock,6.0,0
BL-10268,pack,damaged_carton,Damaged carton,13.3,0
BL-10268,stage_ship,missed_sla,Missed same-day dock,25.8,0
BL-10271,pick,short_pick,Short pick / slot empty,9.4,1
BL-10271,stage_ship,missed_sla,Missed same-day dock,1.3,0
BL-10273,wave_release,weight_fail,In-line weight fail,7.1,1
BL-10273,stage_ship,missed_sla,Missed same-day dock,18.0,0
BL-10274,pack,damaged_carton,Damaged carton,10.4,0
BL-10276,stage_ship,missed_sla,Missed same-day dock,20.7,0
BL-10277,qc,label_mismatch,Label mismatch,15.0,1
BL-10277,stage_ship,missed_sla,Missed same-day dock,7.5,0
BL-10280,stage_ship,missed_sla,Missed same-day dock,31.9,0
BL-10281,stage_ship,missed_sla,Missed same-day dock,0.7,0
BL-10282,stage_ship,missed_sla,Missed same-day dock,49.4,0
BL-10283,pick,short_pick,Short pick / slot empty,9.1,1
BL-10283,stage_ship,missed_sla,Missed same-day dock,27.7,0
BL-10285,stage_ship,missed_sla,Missed same-day dock,7.8,0
BL-10286,stage_ship,weight_fail,In-line weight fail,10.5,1
BL-10286,stage_ship,missed_sla,Missed same-day dock,32.2,0
BL-10288,stage_ship,missed_sla,Missed same-day dock,13.3,0
BL-10291,stage_ship,weight_fail,In-line weight fail,10.6,1
BL-10291,stage_ship,missed_sla,Missed same-day dock,14.7,0
BL-10294,stage_ship,missed_sla,Missed same-day dock,13.7,0
BL-10299,stage_ship,missed_sla,Missed same-day dock,19.0,0
BL-10301,stage_ship,weight_fail,In-line weight fail,4.0,1
BL-10303,stage_ship,missed_sla,Missed same-day dock,1.3,0
BL-10304,pack,damaged_carton,Damaged carton,18.3,0
BL-10304,stage_ship,missed_sla,Missed same-day dock,4.9,0
BL-10305,stage_ship,missed_sla,Missed same-day dock,35.4,0
BL-10311,pick,short_pick,Short pick / slot empty,10.5,1
BL-10312,stage_ship,missed_sla,Missed same-day dock,15.5,0
BL-10313,wave_release,label_mismatch,Label mismatch,10.9,1
BL-10313,pick,short_pick,Short pick / slot empty,11.8,1
BL-10314,stage_ship,missed_sla,Missed same-day dock,19.8,0
BL-10315,stage_ship,missed_sla,Missed same-day dock,22.7,0
BL-10316,pack,damaged_carton,Damaged carton,11.1,0
BL-10316,stage_ship,missed_sla,Missed same-day dock,1.3,0
BL-10319,stage_ship,missed_sla,Missed same-day dock,23.9,0
BL-10320,pick,short_pick,Short pick / slot empty,10.5,1
BL-10320,stage_ship,missed_sla,Missed same-day dock,45.9,0
BL-10323,pack,damaged_carton,Damaged carton,10.2,0
BL-10326,pick,short_pick,Short pick / slot empty,6.5,1
BL-10326,pack,damaged_carton,Damaged carton,7.2,0
BL-10326,stage_ship,missed_sla,Missed same-day dock,1.1,0
BL-10327,stage_ship,missed_sla,Missed same-day dock,1.4,0
BL-10330,stage_ship,label_mismatch,Label mismatch,12.3,1
BL-10330,stage_ship,missed_sla,Missed same-day dock,22.7,0
BL-10333,pick,short_pick,Short pick / slot empty,15.9,1
BL-10333,stage_ship,missed_sla,Missed same-day dock,47.5,0
BL-10334,qc,weight_fail,In-line weight fail,10.6,1
BL-10334,stage_ship,label_mismatch,Label mismatch,11.1,1
BL-10334,stage_ship,missed_sla,Missed same-day dock,52.5,0
BL-10336,qc,weight_fail,In-line weight fail,9.3,1
BL-10340,stage_ship,missed_sla,Missed same-day dock,6.3,0
BL-10342,stage_ship,weight_fail,In-line weight fail,10.9,1
BL-10347,pack,damaged_carton,Damaged carton,10.5,0
BL-10352,wave_release,weight_fail,In-line weight fail,10.1,1
BL-10353,qc,weight_fail,In-line weight fail,7.3,1
BL-10356,stage_ship,missed_sla,Missed same-day dock,14.1,0
BL-10362,pack,damaged_carton,Damaged carton,4.0,0
BL-10366,stage_ship,missed_sla,Missed same-day dock,24.9,0
BL-10367,wave_release,label_mismatch,Label mismatch,16.0,1
BL-10367,stage_ship,missed_sla,Missed same-day dock,2.0,0
BL-10371,stage_ship,missed_sla,Missed same-day dock,24.6,0
BL-10375,qc,label_mismatch,Label mismatch,12.6,1
BL-10375,stage_ship,missed_sla,Missed same-day dock,47.7,0
BL-10376,pack,damaged_carton,Damaged carton,8.9,0
BL-10376,stage_ship,missed_sla,Missed same-day dock,1.2,0
BL-10378,pack,damaged_carton,Damaged carton,4.8,0
BL-10378,stage_ship,missed_sla,Missed same-day dock,14.0,0
BL-10379,pick,short_pick,Short pick / slot empty,18.7,1
BL-10379,stage_ship,missed_sla,Missed same-day dock,80.1,0
BL-10380,qc,label_mismatch,Label mismatch,10.6,1
BL-10380,stage_ship,missed_sla,Missed same-day dock,39.2,0
BL-10384,pick,short_pick,Short pick / slot empty,8.3,1
BL-10384,stage_ship,missed_sla,Missed same-day dock,7.2,0
BL-10385,pick,short_pick,Short pick / slot empty,6.3,1
BL-10386,qc,weight_fail,In-line weight fail,12.3,1
BL-10386,stage_ship,missed_sla,Missed same-day dock,19.6,0
BL-10387,stage_ship,missed_sla,Missed same-day dock,11.5,0
BL-10390,stage_ship,missed_sla,Missed same-day dock,48.1,0
BL-10391,stage_ship,missed_sla,Missed same-day dock,14.5,0
BL-10392,stage_ship,missed_sla,Missed same-day dock,2.9,0
BL-10393,stage_ship,missed_sla,Missed same-day dock,31.3,0
BL-10394,pick,short_pick,Short pick / slot empty,8.0,1
BL-10394,stage_ship,missed_sla,Missed same-day dock,26.8,0
BL-10395,pick,short_pick,Short pick / slot empty,17.0,1
BL-10395,stage_ship,missed_sla,Missed same-day dock,29.2,0
BL-10397,stage_ship,missed_sla,Missed same-day dock,32.4,0
BL-10398,stage_ship,missed_sla,Missed same-day dock,6.3,0
BL-10399,stage_ship,missed_sla,Missed same-day dock,32.5,0
BL-10400,stage_ship,missed_sla,Missed same-day dock,0.6,0
BL-10401,qc,label_mismatch,Label mismatch,16.8,1
BL-10401,stage_ship,missed_sla,Missed same-day dock,29.6,0
BL-10405,qc,label_mismatch,Label mismatch,6.5,1
BL-10405,stage_ship,missed_sla,Missed same-day dock,20.5,0
BL-10409,pack,damaged_carton,Damaged carton,15.2,0
BL-10409,stage_ship,missed_sla,Missed same-day dock,47.3,0
BL-10412,qc,weight_fail,In-line weight fail,14.8,1
BL-10414,stage_ship,missed_sla,Missed same-day dock,8.8,0
BL-10425,stage_ship,missed_sla,Missed same-day dock,9.9,0
BL-10428,pick,short_pick,Short pick / slot empty,6.8,1
BL-10429,pack,damaged_carton,Damaged carton,18.4,0
BL-10429,stage_ship,missed_sla,Missed same-day dock,29.4,0
BL-10430,stage_ship,missed_sla,Missed same-day dock,17.4,0
BL-10436,wave_release,weight_fail,In-line weight fail,8.7,1
BL-10437,wave_release,weight_fail,In-line weight fail,8.9,1
BL-10438,stage_ship,missed_sla,Missed same-day dock,1.0,0
BL-10439,stage_ship,missed_sla,Missed same-day dock,49.5,0
BL-10440,wave_release,label_mismatch,Label mismatch,22.3,1
BL-10440,stage_ship,missed_sla,Missed same-day dock,44.8,0
BL-10441,stage_ship,missed_sla,Missed same-day dock,15.6,0
BL-10442,pack,damaged_carton,Damaged carton,12.1,0
BL-10442,stage_ship,missed_sla,Missed same-day dock,7.1,0
BL-10443,qc,label_mismatch,Label mismatch,5.0,1
BL-10444,stage_ship,missed_sla,Missed same-day dock,6.0,0
BL-10447,slot_locate,weight_fail,In-line weight fail,18.8,1
BL-10447,stage_ship,missed_sla,Missed same-day dock,1.0,0
BL-10448,stage_ship,missed_sla,Missed same-day dock,6.0,0
BL-10451,slot_locate,label_mismatch,Label mismatch,10.9,1
BL-10456,pack,damaged_carton,Damaged carton,4.0,0
BL-10458,slot_locate,weight_fail,In-line weight fail,14.3,1
BL-10460,qc,weight_fail,In-line weight fail,9.5,1
BL-10465,stage_ship,missed_sla,Missed same-day dock,10.1,0
BL-10469,stage_ship,missed_sla,Missed same-day dock,37.1,0
BL-10473,stage_ship,missed_sla,Missed same-day dock,20.1,0
BL-10474,pack,damaged_carton,Damaged carton,9.0,0
BL-10475,stage_ship,missed_sla,Missed same-day dock,16.5,0
BL-10481,pick,short_pick,Short pick / slot empty,16.5,1
BL-10482,wave_release,weight_fail,In-line weight fail,9.2,1
BL-10482,stage_ship,missed_sla,Missed same-day dock,15.6,0
BL-10483,stage_ship,missed_sla,Missed same-day dock,26.5,0
BL-10485,pick,short_pick,Short pick / slot empty,11.1,1
BL-10487,stage_ship,missed_sla,Missed same-day dock,48.4,0
BL-10490,stage_ship,missed_sla,Missed same-day dock,6.9,0
BL-10491,stage_ship,missed_sla,Missed same-day dock,18.9,0
BL-10493,pack,damaged_carton,Damaged carton,7.1,0
BL-10499,qc,weight_fail,In-line weight fail,5.2,1
BL-10505,pick,short_pick,Short pick / slot empty,9.9,1
BL-10507,pack,damaged_carton,Damaged carton,12.9,0
BL-10507,stage_ship,missed_sla,Missed same-day dock,33.5,0
BL-10508,stage_ship,missed_sla,Missed same-day dock,0.9,0
BL-10512,stage_ship,missed_sla,Missed same-day dock,18.7,0
BL-10515,qc,label_mismatch,Label mismatch,6.8,1
BL-10515,stage_ship,missed_sla,Missed same-day dock,10.2,0
BL-10516,stage_ship,missed_sla,Missed same-day dock,9.9,0
BL-10517,stage_ship,missed_sla,Missed same-day dock,16.3,0
BL-10520,pack,damaged_carton,Damaged carton,11.2,0
BL-10520,stage_ship,missed_sla,Missed same-day dock,11.8,0
BL-10521,stage_ship,missed_sla,Missed same-day dock,5.4,0
BL-10522,qc,weight_fail,In-line weight fail,14.0,1
BL-10522,stage_ship,missed_sla,Missed same-day dock,20.9,0
BL-10523,stage_ship,missed_sla,Missed same-day dock,82.3,0
BL-10524,pick,short_pick,Short pick / slot empty,5.4,1
BL-10529,stage_ship,missed_sla,Missed same-day dock,57.1,0
BL-10530,stage_ship,missed_sla,Missed same-day dock,55.6,0
BL-10531,pack,damaged_carton,Damaged carton,14.9,0
BL-10531,qc,label_mismatch,Label mismatch,8.4,1
BL-10531,stage_ship,missed_sla,Missed same-day dock,64.8,0
BL-10534,qc,label_mismatch,Label mismatch,12.9,1
BL-10534,stage_ship,missed_sla,Missed same-day dock,46.3,0
BL-10536,pack,damaged_carton,Damaged carton,11.2,0
BL-10536,stage_ship,missed_sla,Missed same-day dock,9.9,0
BL-10537,pack,damaged_carton,Damaged carton,13.3,0
BL-10537,stage_ship,missed_sla,Missed same-day dock,16.1,0
BL-10546,wave_release,label_mismatch,Label mismatch,9.4,1
BL-10548,slot_locate,label_mismatch,Label mismatch,11.4,1
BL-10548,stage_ship,missed_sla,Missed same-day dock,18.8,0
BL-10551,stage_ship,missed_sla,Missed same-day dock,3.7,0
BL-10552,wave_release,label_mismatch,Label mismatch,11.5,1
BL-10556,stage_ship,missed_sla,Missed same-day dock,19.0,0
BL-10557,stage_ship,weight_fail,In-line weight fail,9.2,1
BL-10557,stage_ship,missed_sla,Missed same-day dock,41.7,0
BL-10559,stage_ship,missed_sla,Missed same-day dock,6.6,0
BL-10569,stage_ship,missed_sla,Missed same-day dock,58.3,0
BL-10570,stage_ship,missed_sla,Missed same-day dock,8.9,0
BL-10577,pick,short_pick,Short pick / slot empty,12.0,1
BL-10578,pack,damaged_carton,Damaged carton,7.9,0
BL-10578,stage_ship,missed_sla,Missed same-day dock,10.5,0
BL-10581,stage_ship,missed_sla,Missed same-day dock,4.1,0
BL-10585,pack,damaged_carton,Damaged carton,8.4,0
BL-10587,stage_ship,missed_sla,Missed same-day dock,16.5,0
BL-10588,pick,short_pick,Short pick / slot empty,12.2,1
BL-10591,stage_ship,missed_sla,Missed same-day dock,25.8,0
BL-10594,stage_ship,missed_sla,Missed same-day dock,16.0,0
BL-10598,qc,weight_fail,In-line weight fail,13.2,1
BL-10598,stage_ship,missed_sla,Missed same-day dock,42.8,0
BL-10600,qc,label_mismatch,Label mismatch,5.3,1
BL-10600,stage_ship,missed_sla,Missed same-day dock,50.9,0
BL-10601,pick,short_pick,Short pick / slot empty,19.4,1
BL-10601,stage_ship,missed_sla,Missed same-day dock,57.8,0
BL-10604,pick,short_pick,Short pick / slot empty,16.5,1
BL-10604,stage_ship,missed_sla,Missed same-day dock,14.1,0
BL-10605,stage_ship,missed_sla,Missed same-day dock,20.9,0
BL-10606,slot_locate,weight_fail,In-line weight fail,5.7,1
BL-10607,stage_ship,missed_sla,Missed same-day dock,11.3,0
BL-10608,stage_ship,missed_sla,Missed same-day dock,2.9,0
BL-10612,stage_ship,missed_sla,Missed same-day dock,8.4,0
BL-10614,pick,short_pick,Short pick / slot empty,4.0,1
BL-10622,pick,short_pick,Short pick / slot empty,10.9,1
BL-10622,stage_ship,missed_sla,Missed same-day dock,27.9,0
BL-10627,stage_ship,label_mismatch,Label mismatch,16.7,1
BL-10627,stage_ship,missed_sla,Missed same-day dock,31.4,0
BL-10628,qc,label_mismatch,Label mismatch,12.2,1
BL-10628,stage_ship,missed_sla,Missed same-day dock,2.1,0
BL-10629,pick,short_pick,Short pick / slot empty,21.4,1
BL-10630,stage_ship,missed_sla,Missed same-day dock,50.3,0
BL-10634,stage_ship,missed_sla,Missed same-day dock,4.6,0
BL-10636,stage_ship,missed_sla,Missed same-day dock,0.9,0
BL-10641,stage_ship,missed_sla,Missed same-day dock,34.5,0
BL-10642,qc,weight_fail,In-line weight fail,10.0,1
BL-10642,stage_ship,missed_sla,Missed same-day dock,32.4,0
BL-10644,qc,label_mismatch,Label mismatch,9.7,1
BL-10647,stage_ship,missed_sla,Missed same-day dock,26.2,0
BL-10648,qc,label_mismatch,Label mismatch,9.0,1
BL-10648,stage_ship,missed_sla,Missed same-day dock,19.9,0
BL-10651,stage_ship,missed_sla,Missed same-day dock,12.8,0
BL-10654,qc,label_mismatch,Label mismatch,14.3,1
BL-10654,stage_ship,missed_sla,Missed same-day dock,6.0,0
BL-10655,stage_ship,missed_sla,Missed same-day dock,2.0,0
BL-10656,qc,weight_fail,In-line weight fail,9.2,1
BL-10658,stage_ship,missed_sla,Missed same-day dock,17.3,0
BL-10659,stage_ship,missed_sla,Missed same-day dock,6.4,0
BL-10661,stage_ship,missed_sla,Missed same-day dock,35.9,0
BL-10663,slot_locate,weight_fail,In-line weight fail,12.5,1
BL-10664,stage_ship,missed_sla,Missed same-day dock,12.9,0
BL-10666,stage_ship,missed_sla,Missed same-day dock,24.0,0
BL-10667,pack,damaged_carton,Damaged carton,12.9,0
BL-10668,pick,short_pick,Short pick / slot empty,19.8,1
BL-10668,stage_ship,missed_sla,Missed same-day dock,38.3,0
BL-10669,stage_ship,missed_sla,Missed same-day dock,10.0,0
BL-10671,wave_release,weight_fail,In-line weight fail,14.2,1
BL-10676,qc,weight_fail,In-line weight fail,7.6,1
BL-10677,qc,label_mismatch,Label mismatch,9.7,1
BL-10680,pick,short_pick,Short pick / slot empty,11.8,1
BL-10685,pick,short_pick,Short pick / slot empty,15.3,1
BL-10685,stage_ship,missed_sla,Missed same-day dock,10.4,0
BL-10686,stage_ship,label_mismatch,Label mismatch,17.3,1
BL-10686,stage_ship,missed_sla,Missed same-day dock,17.8,0
BL-10687,stage_ship,weight_fail,In-line weight fail,20.7,1
BL-10688,qc,weight_fail,In-line weight fail,11.0,1
BL-10691,pick,short_pick,Short pick / slot empty,4.0,1
BL-10691,qc,weight_fail,In-line weight fail,11.0,1
BL-10692,qc,weight_fail,In-line weight fail,12.1,1
BL-10695,stage_ship,weight_fail,In-line weight fail,4.0,1
BL-10695,stage_ship,missed_sla,Missed same-day dock,51.4,0
BL-10696,qc,label_mismatch,Label mismatch,12.0,1
BL-10696,stage_ship,missed_sla,Missed same-day dock,49.0,0
BL-10699,stage_ship,missed_sla,Missed same-day dock,3.4,0
BL-10701,pick,short_pick,Short pick / slot empty,7.2,1
BL-10702,stage_ship,label_mismatch,Label mismatch,5.2,1
BL-10703,qc,weight_fail,In-line weight fail,9.4,1
BL-10703,stage_ship,missed_sla,Missed same-day dock,14.9,0
BL-10705,qc,weight_fail,In-line weight fail,14.5,1
BL-10705,stage_ship,missed_sla,Missed same-day dock,24.5,0
BL-10706,stage_ship,missed_sla,Missed same-day dock,76.3,0
BL-10707,pick,short_pick,Short pick / slot empty,12.5,1
BL-10707,stage_ship,missed_sla,Missed same-day dock,63.0,0
BL-10708,slot_locate,weight_fail,In-line weight fail,12.8,1
BL-10708,pack,damaged_carton,Damaged carton,8.3,0
BL-10708,stage_ship,missed_sla,Missed same-day dock,14.7,0
BL-10712,stage_ship,missed_sla,Missed same-day dock,2.3,0
BL-10713,pick,short_pick,Short pick / slot empty,4.0,1
BL-10718,stage_ship,missed_sla,Missed same-day dock,10.7,0
BL-10730,wave_release,weight_fail,In-line weight fail,4.0,1
BL-10730,stage_ship,missed_sla,Missed same-day dock,8.1,0
BL-10731,pick,short_pick,Short pick / slot empty,5.2,1
BL-10732,slot_locate,label_mismatch,Label mismatch,9.9,1
BL-10732,stage_ship,missed_sla,Missed same-day dock,18.2,0
BL-10733,stage_ship,missed_sla,Missed same-day dock,71.7,0
BL-10737,stage_ship,missed_sla,Missed same-day dock,24.0,0
BL-10738,pack,damaged_carton,Damaged carton,16.4,0
BL-10738,qc,label_mismatch,Label mismatch,12.5,1
BL-10738,stage_ship,missed_sla,Missed same-day dock,66.0,0
BL-10739,stage_ship,missed_sla,Missed same-day dock,27.8,0
BL-10740,stage_ship,missed_sla,Missed same-day dock,26.1,0
BL-10742,pack,damaged_carton,Damaged carton,21.5,0
BL-10742,stage_ship,missed_sla,Missed same-day dock,21.8,0
BL-10743,pack,damaged_carton,Damaged carton,11.9,0
BL-10744,stage_ship,missed_sla,Missed same-day dock,43.2,0
BL-10745,stage_ship,missed_sla,Missed same-day dock,11.6,0
BL-10746,stage_ship,missed_sla,Missed same-day dock,12.0,0
BL-10747,pick,short_pick,Short pick / slot empty,6.6,1
BL-10748,slot_locate,weight_fail,In-line weight fail,4.0,1
BL-10748,pack,damaged_carton,Damaged carton,12.1,0
BL-10748,stage_ship,missed_sla,Missed same-day dock,7.4,0
BL-10749,pick,short_pick,Short pick / slot empty,9.9,1
BL-10749,stage_ship,missed_sla,Missed same-day dock,16.7,0
