order_id,facility_id,period,pilot_flag,dropped_at,promised_at,shift,channel,line_count,low_risk_flag,hazmat_flag,cycle_minutes,error_count,rework_flag,sla_miss_flag
BL-10017,AUS-01,baseline,0,2025-01-06T22:30:30,2025-01-07T00:30:30,Night,Marketplace,3,0,0,82.2,0,0,0
BL-10018,EWR-07,baseline,0,2025-01-06T06:11:46,2025-01-06T08:11:46,Days,Store replen,2,0,0,120.8,1,1,1
BL-10019,EWR-07,baseline,0,2025-01-06T06:26:14,2025-01-06T08:26:14,Days,Store replen,1,0,0,106.5,1,1,0
BL-10020,EWR-07,baseline,0,2025-01-06T06:08:45,2025-01-06T08:08:45,Days,DTC web,1,1,0,85.6,0,0,0
BL-10021,EWR-07,baseline,0,2025-01-06T06:32:31,2025-01-06T08:32:31,Days,DTC web,2,1,0,89.1,0,0,0
BL-10022,EWR-07,baseline,0,2025-01-06T06:19:31,2025-01-06T08:19:31,Days,DTC web,7,0,0,141.8,0,0,1
BL-10023,EWR-07,baseline,0,2025-01-06T14:12:28,2025-01-06T16:12:28,Swing,Marketplace,6,0,0,118.2,0,0,0
BL-10024,EWR-07,baseline,0,2025-01-06T14:46:42,2025-01-06T16:46:42,Swing,Marketplace,3,0,1,100.5,0,0,0
BL-10025,EWR-07,baseline,0,2025-01-06T14:14:35,2025-01-06T16:14:35,Swing,DTC web,1,1,0,81.4,0,0,0
BL-10026,EWR-07,baseline,0,2025-01-06T14:29:23,2025-01-06T16:29:23,Swing,DTC web,2,1,0,84.0,0,0,0
BL-10027,EWR-07,baseline,0,2025-01-06T22:45:26,2025-01-07T00:45:26,Night,DTC web,3,0,0,103.1,1,1,0
BL-10028,EWR-07,baseline,0,2025-01-06T22:36:45,2025-01-07T00:36:45,Night,Marketplace,1,1,0,107.5,0,0,0
BL-10029,EWR-07,baseline,0,2025-01-06T22:45:23,2025-01-07T00:45:23,Night,DTC web,2,0,0,83.5,0,0,0
BL-10030,EWR-07,baseline,0,2025-01-06T22:47:11,2025-01-07T00:47:11,Night,Marketplace,2,1,0,113.7,0,0,0
BL-10031,EWR-07,baseline,0,2025-01-06T22:37:04,2025-01-07T00:37:04,Night,DTC web,5,0,0,165.4,1,1,1
BL-10032,EWR-07,baseline,0,2025-01-06T22:47:47,2025-01-07T00:47:47,Night,DTC web,3,0,0,118.3,0,0,0
BL-10033,EWR-07,baseline,0,2025-01-06T22:35:21,2025-01-07T00:35:21,Night,Marketplace,7,0,0,131.4,1,1,1
BL-10034,EWR-07,baseline,0,2025-01-06T22:35:19,2025-01-07T00:35:19,Night,DTC web,5,0,0,124.8,0,0,1
BL-10035,EWR-07,baseline,0,2025-01-06T22:22:11,2025-01-07T00:22:11,Night,DTC web,1,1,0,96.6,1,1,0
BL-10036,EWR-07,baseline,0,2025-01-06T22:31:30,2025-01-07T00:31:30,Night,Marketplace,7,0,0,147.0,0,0,1
BL-10037,FNT-12,baseline,0,2025-01-06T06:37:34,2025-01-06T08:37:34,Days,DTC web,2,0,0,100.4,1,1,0
BL-10038,FNT-12,baseline,0,2025-01-06T06:45:43,2025-01-06T08:45:43,Days,Marketplace,5,0,0,119.6,0,0,0
BL-10039,FNT-12,baseline,0,2025-01-06T06:19:08,2025-01-06T08:19:08,Days,Store replen,12,0,0,179.7,0,0,1
BL-10040,FNT-12,baseline,0,2025-01-06T06:33:29,2025-01-06T08:33:29,Days,DTC web,3,0,0,110.7,0,0,0
BL-10041,FNT-12,baseline,0,2025-01-06T06:29:26,2025-01-06T08:29:26,Days,DTC web,1,0,0,82.7,0,0,0
BL-10042,FNT-12,baseline,0,2025-01-06T14:11:12,2025-01-06T16:11:12,Swing,DTC web,3,0,0,126.7,0,0,1
BL-10043,FNT-12,baseline,0,2025-01-06T14:16:12,2025-01-06T16:16:12,Swing,DTC web,5,0,0,120.4,0,0,1
BL-10044,FNT-12,baseline,0,2025-01-06T14:14:08,2025-01-06T16:14:08,Swing,DTC web,2,0,0,99.8,0,0,0
BL-10045,FNT-12,baseline,0,2025-01-06T14:32:02,2025-01-06T16:32:02,Swing,Store replen,8,0,0,145.3,0,0,1
BL-10046,FNT-12,baseline,0,2025-01-06T14:11:23,2025-01-06T16:11:23,Swing,DTC web,4,0,0,136.7,0,0,1
BL-10047,FNT-12,baseline,0,2025-01-06T14:16:32,2025-01-06T16:16:32,Swing,DTC web,2,1,0,106.0,1,1,0
BL-10048,FNT-12,baseline,0,2025-01-06T22:10:16,2025-01-07T00:10:16,Night,Marketplace,4,0,0,135.3,0,0,1
BL-10049,FNT-12,baseline,0,2025-01-06T22:08:37,2025-01-07T00:08:37,Night,Marketplace,3,0,0,129.3,1,0,1
BL-10050,FNT-12,baseline,0,2025-01-06T22:34:05,2025-01-07T00:34:05,Night,DTC web,2,1,0,113.0,0,0,0
BL-10051,FNT-12,baseline,0,2025-01-06T22:18:25,2025-01-07T00:18:25,Night,DTC web,7,0,0,156.4,0,0,1
BL-10052,FNT-12,baseline,0,2025-01-06T22:19:07,2025-01-07T00:19:07,Night,DTC web,2,0,1,130.7,0,0,1
BL-10053,FNT-12,baseline,0,2025-01-06T22:26:19,2025-01-07T00:26:19,Night,Marketplace,7,0,0,170.4,0,0,1
BL-10054,AUS-01,baseline,0,2025-01-07T06:40:27,2025-01-07T08:40:27,Days,DTC web,12,0,0,133.3,0,0,1
BL-10055,AUS-01,baseline,0,2025-01-07T06:34:44,2025-01-07T08:34:44,Days,DTC web,5,0,0,88.3,0,0,0
BL-10056,AUS-01,baseline,0,2025-01-07T06:31:17,2025-01-07T08:31:17,Days,DTC web,4,0,0,128.6,1,0,1
BL-10057,AUS-01,baseline,0,2025-01-07T06:48:08,2025-01-07T08:48:08,Days,DTC web,3,0,0,114.4,0,0,0
BL-10058,AUS-01,baseline,0,2025-01-07T06:40:19,2025-01-07T08:40:19,Days,DTC web,1,1,0,68.9,0,0,0
BL-10059,AUS-01,baseline,0,2025-01-07T06:50:46,2025-01-07T08:50:46,Days,Store replen,3,0,0,97.5,1,1,0
BL-10060,AUS-01,baseline,0,2025-01-07T14:45:09,2025-01-07T16:45:09,Swing,DTC web,1,0,0,51.7,0,0,0
BL-10061,AUS-01,baseline,0,2025-01-07T14:10:01,2025-01-07T16:10:01,Swing,Marketplace,4,0,0,103.9,0,0,0
BL-10062,AUS-01,baseline,0,2025-01-07T14:33:32,2025-01-07T16:33:32,Swing,DTC web,12,0,0,143.5,0,0,1
BL-10063,AUS-01,baseline,0,2025-01-07T14:49:07,2025-01-07T16:49:07,Swing,DTC web,3,0,0,108.8,0,0,0
BL-10064,AUS-01,baseline,0,2025-01-07T14:48:39,2025-01-07T16:48:39,Swing,DTC web,7,0,0,134.6,1,1,1
BL-10065,AUS-01,baseline,0,2025-01-07T14:09:11,2025-01-07T16:09:11,Swing,DTC web,1,1,0,114.9,0,0,0
BL-10066,AUS-01,baseline,0,2025-01-07T14:45:18,2025-01-07T16:45:18,Swing,Marketplace,2,1,0,68.2,0,0,0
BL-10067,AUS-01,baseline,0,2025-01-07T14:30:23,2025-01-07T16:30:23,Swing,Marketplace,2,1,0,87.8,0,0,0
BL-10068,AUS-01,baseline,0,2025-01-07T22:31:10,2025-01-08T00:31:10,Night,Marketplace,1,1,0,99.9,0,0,0
BL-10069,AUS-01,baseline,0,2025-01-07T22:42:23,2025-01-08T00:42:23,Night,DTC web,2,1,0,71.1,0,0,0
BL-10070,AUS-01,baseline,0,2025-01-07T22:48:37,2025-01-08T00:48:37,Night,Store replen,10,0,0,156.9,1,1,1
BL-10071,AUS-01,baseline,0,2025-01-07T22:39:11,2025-01-08T00:39:11,Night,Store replen,7,0,0,113.1,0,0,0
BL-10072,AUS-01,baseline,0,2025-01-07T22:51:13,2025-01-08T00:51:13,Night,DTC web,3,0,0,85.4,1,1,0
BL-10073,AUS-01,baseline,0,2025-01-07T22:47:25,2025-01-08T00:47:25,Night,DTC web,4,0,0,105.7,0,0,0
BL-10074,AUS-01,baseline,0,2025-01-07T22:26:23,2025-01-08T00:26:23,Night,DTC web,1,0,0,72.4,0,0,0
BL-10075,AUS-01,baseline,0,2025-01-07T22:42:31,2025-01-08T00:42:31,Night,Store replen,5,0,0,122.9,0,0,1
BL-10076,EWR-07,baseline,0,2025-01-07T06:45:19,2025-01-07T08:45:19,Days,Marketplace,1,1,0,88.8,0,0,0
BL-10077,EWR-07,baseline,0,2025-01-07T06:35:43,2025-01-07T08:35:43,Days,Marketplace,6,0,0,122.8,1,1,1
BL-10078,EWR-07,baseline,0,2025-01-07T06:31:12,2025-01-07T08:31:12,Days,DTC web,2,1,0,93.0,0,0,0
BL-10079,EWR-07,baseline,0,2025-01-07T06:44:40,2025-01-07T08:44:40,Days,Store replen,1,0,0,104.4,0,0,0
BL-10080,EWR-07,baseline,0,2025-01-07T06:11:38,2025-01-07T08:11:38,Days,DTC web,5,0,0,117.0,0,0,0
BL-10081,EWR-07,baseline,0,2025-01-07T14:22:34,2025-01-07T16:22:34,Swing,DTC web,1,1,0,104.5,0,0,0
BL-10082,EWR-07,baseline,0,2025-01-07T14:50:26,2025-01-07T16:50:26,Swing,DTC web,1,1,0,99.7,1,0,0
BL-10083,EWR-07,baseline,0,2025-01-07T14:50:07,2025-01-07T16:50:07,Swing,Marketplace,2,1,0,96.5,0,0,0
BL-10084,EWR-07,baseline,0,2025-01-07T14:08:49,2025-01-07T16:08:49,Swing,DTC web,6,0,0,119.3,0,0,0
BL-10085,EWR-07,baseline,0,2025-01-07T14:26:16,2025-01-07T16:26:16,Swing,Marketplace,3,0,0,99.2,0,0,0
BL-10086,EWR-07,baseline,0,2025-01-07T14:18:22,2025-01-07T16:18:22,Swing,DTC web,3,0,0,100.3,0,0,0
BL-10087,EWR-07,baseline,0,2025-01-07T14:40:02,2025-01-07T16:40:02,Swing,Marketplace,5,0,0,105.3,0,0,0
BL-10088,EWR-07,baseline,0,2025-01-07T14:34:46,2025-01-07T16:34:46,Swing,Marketplace,2,0,0,103.0,0,0,0
BL-10089,EWR-07,baseline,0,2025-01-07T14:16:42,2025-01-07T16:16:42,Swing,DTC web,6,0,0,111.3,0,0,0
BL-10090,EWR-07,baseline,0,2025-01-07T22:26:23,2025-01-08T00:26:23,Night,Store replen,5,0,0,128.1,0,0,1
BL-10091,EWR-07,baseline,0,2025-01-07T22:19:13,2025-01-08T00:19:13,Night,DTC web,3,0,0,97.1,0,0,0
BL-10092,EWR-07,baseline,0,2025-01-07T22:44:47,2025-01-08T00:44:47,Night,DTC web,7,0,0,168.5,1,1,1
BL-10093,FNT-12,baseline,0,2025-01-07T06:39:42,2025-01-07T08:39:42,Days,DTC web,2,0,0,101.9,0,0,0
BL-10094,FNT-12,baseline,0,2025-01-07T06:36:18,2025-01-07T08:36:18,Days,Store replen,1,0,0,96.4,0,0,0
BL-10095,FNT-12,baseline,0,2025-01-07T06:31:08,2025-01-07T08:31:08,Days,Store replen,3,0,0,101.2,0,0,0
BL-10096,FNT-12,baseline,0,2025-01-07T06:17:10,2025-01-07T08:17:10,Days,Marketplace,5,0,0,124.5,0,0,1
BL-10097,FNT-12,baseline,0,2025-01-07T06:37:38,2025-01-07T08:37:38,Days,DTC web,2,1,0,102.8,0,0,0
BL-10098,FNT-12,baseline,0,2025-01-07T06:24:25,2025-01-07T08:24:25,Days,Store replen,4,0,0,131.3,0,0,1
BL-10099,FNT-12,baseline,0,2025-01-07T14:30:25,2025-01-07T16:30:25,Swing,Store replen,2,0,0,117.9,0,0,0
BL-10100,FNT-12,baseline,0,2025-01-07T14:36:47,2025-01-07T16:36:47,Swing,DTC web,2,0,0,114.9,0,0,0
BL-10101,FNT-12,baseline,0,2025-01-07T14:49:18,2025-01-07T16:49:18,Swing,DTC web,2,1,0,96.8,0,0,0
BL-10102,FNT-12,baseline,0,2025-01-07T22:08:04,2025-01-08T00:08:04,Night,Store replen,3,0,0,133.1,0,0,1
BL-10103,FNT-12,baseline,0,2025-01-07T22:38:35,2025-01-08T00:38:35,Night,DTC web,3,0,0,132.4,1,0,1
BL-10104,FNT-12,baseline,0,2025-01-07T22:46:21,2025-01-08T00:46:21,Night,Marketplace,1,0,0,131.4,1,1,1
BL-10105,FNT-12,baseline,0,2025-01-07T22:25:49,2025-01-08T00:25:49,Night,Marketplace,2,1,0,147.0,0,0,1
BL-10106,AUS-01,baseline,0,2025-01-08T06:21:01,2025-01-08T08:21:01,Days,DTC web,2,0,0,87.3,0,0,0
BL-10107,AUS-01,baseline,0,2025-01-08T06:23:26,2025-01-08T08:23:26,Days,DTC web,3,0,0,82.5,0,0,0
BL-10108,AUS-01,baseline,0,2025-01-08T06:12:03,2025-01-08T08:12:03,Days,DTC web,5,0,0,104.2,0,0,0
BL-10109,AUS-01,baseline,0,2025-01-08T14:50:26,2025-01-08T16:50:26,Swing,DTC web,1,1,0,72.7,0,0,0
BL-10110,AUS-01,baseline,0,2025-01-08T14:10:29,2025-01-08T16:10:29,Swing,DTC web,5,0,0,92.0,0,0,0
BL-10111,AUS-01,baseline,0,2025-01-08T14:50:43,2025-01-08T16:50:43,Swing,Marketplace,2,0,0,83.4,0,0,0
BL-10112,AUS-01,baseline,0,2025-01-08T14:24:25,2025-01-08T16:24:25,Swing,Store replen,10,0,0,184.9,2,1,1
BL-10113,AUS-01,baseline,0,2025-01-08T14:46:23,2025-01-08T16:46:23,Swing,DTC web,1,0,0,88.6,0,0,0
BL-10114,AUS-01,baseline,0,2025-01-08T22:09:47,2025-01-09T00:09:47,Night,DTC web,2,1,0,103.4,0,0,0
BL-10115,AUS-01,baseline,0,2025-01-08T22:22:14,2025-01-09T00:22:14,Night,Marketplace,3,0,0,91.8,0,0,0
BL-10116,AUS-01,baseline,0,2025-01-08T22:24:27,2025-01-09T00:24:27,Night,Store replen,2,0,1,103.5,1,1,0
BL-10117,AUS-01,baseline,0,2025-01-08T22:29:04,2025-01-09T00:29:04,Night,DTC web,6,0,0,98.2,0,0,0
BL-10118,EWR-07,baseline,0,2025-01-08T06:51:04,2025-01-08T08:51:04,Days,Marketplace,7,0,0,161.9,0,0,1
BL-10119,EWR-07,baseline,0,2025-01-08T06:10:22,2025-01-08T08:10:22,Days,DTC web,5,0,0,101.9,0,0,0
BL-10120,EWR-07,baseline,0,2025-01-08T06:13:23,2025-01-08T08:13:23,Days,Store replen,2,0,0,97.5,0,0,0
BL-10121,EWR-07,baseline,0,2025-01-08T06:15:08,2025-01-08T08:15:08,Days,DTC web,10,0,0,143.3,1,0,1
BL-10122,EWR-07,baseline,0,2025-01-08T06:26:08,2025-01-08T08:26:08,Days,DTC web,1,0,1,100.2,0,0,0
BL-10123,EWR-07,baseline,0,2025-01-08T06:17:38,2025-01-08T08:17:38,Days,DTC web,4,0,0,126.0,0,0,1
BL-10124,EWR-07,baseline,0,2025-01-08T06:09:03,2025-01-08T08:09:03,Days,Marketplace,7,0,0,133.1,0,0,1
BL-10125,EWR-07,baseline,0,2025-01-08T06:33:46,2025-01-08T08:33:46,Days,Marketplace,1,0,0,90.4,0,0,0
BL-10126,EWR-07,baseline,0,2025-01-08T06:33:36,2025-01-08T08:33:36,Days,DTC web,4,0,0,108.5,0,0,0
BL-10127,EWR-07,baseline,0,2025-01-08T06:44:40,2025-01-08T08:44:40,Days,DTC web,1,0,0,102.4,0,0,0
BL-10128,EWR-07,baseline,0,2025-01-08T14:31:37,2025-01-08T16:31:37,Swing,DTC web,3,0,0,126.1,2,1,1
BL-10129,EWR-07,baseline,0,2025-01-08T14:14:20,2025-01-08T16:14:20,Swing,DTC web,1,1,0,98.8,0,0,0
BL-10130,EWR-07,baseline,0,2025-01-08T14:25:48,2025-01-08T16:25:48,Swing,Marketplace,6,0,0,123.2,0,0,1
BL-10131,EWR-07,baseline,0,2025-01-08T14:20:35,2025-01-08T16:20:35,Swing,DTC web,6,0,0,125.2,1,1,1
BL-10132,EWR-07,baseline,0,2025-01-08T14:37:14,2025-01-08T16:37:14,Swing,Store replen,6,0,0,122.0,0,0,1
BL-10133,EWR-07,baseline,0,2025-01-08T14:44:14,2025-01-08T16:44:14,Swing,Marketplace,1,1,0,123.2,0,0,1
BL-10134,EWR-07,baseline,0,2025-01-08T22:17:30,2025-01-09T00:17:30,Night,DTC web,2,1,0,93.0,0,0,0
BL-10135,EWR-07,baseline,0,2025-01-08T22:41:37,2025-01-09T00:41:37,Night,Marketplace,3,0,0,89.1,0,0,0
BL-10136,FNT-12,baseline,0,2025-01-08T06:14:49,2025-01-08T08:14:49,Days,DTC web,1,1,0,96.8,0,0,0
BL-10137,FNT-12,baseline,0,2025-01-08T06:09:39,2025-01-08T08:09:39,Days,DTC web,2,1,0,114.1,1,1,0
BL-10138,FNT-12,baseline,0,2025-01-08T06:08:45,2025-01-08T08:08:45,Days,DTC web,2,1,0,91.2,0,0,0
BL-10139,FNT-12,baseline,0,2025-01-08T14:35:12,2025-01-08T16:35:12,Swing,Store replen,1,0,0,105.9,0,0,0
BL-10140,FNT-12,baseline,0,2025-01-08T14:14:07,2025-01-08T16:14:07,Swing,DTC web,2,1,0,109.6,1,1,0
BL-10141,FNT-12,baseline,0,2025-01-08T22:19:41,2025-01-09T00:19:41,Night,Marketplace,4,0,0,132.3,0,0,1
BL-10142,FNT-12,baseline,0,2025-01-08T22:10:34,2025-01-09T00:10:34,Night,Store replen,8,0,0,178.8,0,0,1
BL-10143,FNT-12,baseline,0,2025-01-08T22:20:09,2025-01-09T00:20:09,Night,DTC web,4,0,0,147.0,1,0,1
BL-10144,FNT-12,baseline,0,2025-01-08T22:50:39,2025-01-09T00:50:39,Night,DTC web,5,0,0,132.0,0,0,1
BL-10145,FNT-12,baseline,0,2025-01-08T22:30:08,2025-01-09T00:30:08,Night,DTC web,2,0,0,116.2,0,0,0
BL-10146,AUS-01,baseline,0,2025-01-09T06:43:15,2025-01-09T08:43:15,Days,DTC web,3,0,0,83.9,0,0,0
BL-10147,AUS-01,baseline,0,2025-01-09T06:26:26,2025-01-09T08:26:26,Days,DTC web,3,0,0,112.2,0,0,0
BL-10148,AUS-01,baseline,0,2025-01-09T14:27:12,2025-01-09T16:27:12,Swing,Marketplace,1,1,0,105.4,1,1,0
BL-10149,AUS-01,baseline,0,2025-01-09T14:16:42,2025-01-09T16:16:42,Swing,DTC web,4,0,0,94.6,0,0,0
BL-10150,AUS-01,baseline,0,2025-01-09T14:44:39,2025-01-09T16:44:39,Swing,DTC web,3,0,0,105.2,0,0,0
BL-10151,AUS-01,baseline,0,2025-01-09T14:33:34,2025-01-09T16:33:34,Swing,Store replen,3,0,0,124.6,0,0,1
BL-10152,AUS-01,baseline,0,2025-01-09T22:25:34,2025-01-10T00:25:34,Night,Marketplace,4,0,0,97.1,0,0,0
BL-10153,AUS-01,baseline,0,2025-01-09T22:31:25,2025-01-10T00:31:25,Night,Marketplace,2,1,0,84.6,0,0,0
BL-10154,AUS-01,baseline,0,2025-01-09T22:47:49,2025-01-10T00:47:49,Night,DTC web,2,1,0,85.2,1,1,0
BL-10155,AUS-01,baseline,0,2025-01-09T22:35:39,2025-01-10T00:35:39,Night,Marketplace,1,1,0,62.7,0,0,0
BL-10156,EWR-07,baseline,0,2025-01-09T06:35:24,2025-01-09T08:35:24,Days,DTC web,2,0,0,142.1,1,1,1
BL-10157,EWR-07,baseline,0,2025-01-09T06:30:47,2025-01-09T08:30:47,Days,Store replen,8,0,0,155.0,1,0,1
BL-10158,EWR-07,baseline,0,2025-01-09T06:34:11,2025-01-09T08:34:11,Days,Store replen,1,0,0,103.5,0,0,0
BL-10159,EWR-07,baseline,0,2025-01-09T06:20:14,2025-01-09T08:20:14,Days,Store replen,7,0,0,139.4,0,0,1
BL-10160,EWR-07,baseline,0,2025-01-09T06:40:37,2025-01-09T08:40:37,Days,Marketplace,9,0,0,149.5,1,1,1
BL-10161,EWR-07,baseline,0,2025-01-09T06:34:09,2025-01-09T08:34:09,Days,Store replen,8,0,0,146.5,0,0,1
BL-10162,EWR-07,baseline,0,2025-01-09T06:42:20,2025-01-09T08:42:20,Days,Marketplace,2,1,0,100.4,0,0,0
BL-10163,EWR-07,baseline,0,2025-01-09T06:31:10,2025-01-09T08:31:10,Days,DTC web,4,0,0,139.2,0,0,1
BL-10164,EWR-07,baseline,0,2025-01-09T06:48:39,2025-01-09T08:48:39,Days,Marketplace,3,0,0,148.6,0,0,1
BL-10165,EWR-07,baseline,0,2025-01-09T06:18:37,2025-01-09T08:18:37,Days,DTC web,2,0,0,100.4,0,0,0
BL-10166,EWR-07,baseline,0,2025-01-09T06:47:42,2025-01-09T08:47:42,Days,Marketplace,12,0,0,189.7,0,0,1
BL-10167,EWR-07,baseline,0,2025-01-09T06:43:25,2025-01-09T08:43:25,Days,Marketplace,7,0,0,135.4,1,1,1
BL-10168,EWR-07,baseline,0,2025-01-09T06:20:31,2025-01-09T08:20:31,Days,DTC web,5,0,0,104.1,0,0,0
BL-10169,EWR-07,baseline,0,2025-01-09T06:38:16,2025-01-09T08:38:16,Days,DTC web,5,0,1,124.1,0,0,1
BL-10170,EWR-07,baseline,0,2025-01-09T14:14:34,2025-01-09T16:14:34,Swing,DTC web,14,0,0,160.9,0,0,1
BL-10171,EWR-07,baseline,0,2025-01-09T14:51:01,2025-01-09T16:51:01,Swing,Store replen,4,0,0,124.7,0,0,1
BL-10172,EWR-07,baseline,0,2025-01-09T14:37:35,2025-01-09T16:37:35,Swing,Marketplace,1,1,0,105.3,1,1,0
BL-10173,EWR-07,baseline,0,2025-01-09T14:43:20,2025-01-09T16:43:20,Swing,Marketplace,9,0,0,138.9,0,0,1
BL-10174,EWR-07,baseline,0,2025-01-09T22:25:25,2025-01-10T00:25:25,Night,DTC web,6,0,0,117.9,0,0,0
BL-10175,EWR-07,baseline,0,2025-01-09T22:43:04,2025-01-10T00:43:04,Night,Marketplace,1,1,0,104.2,0,0,0
BL-10176,EWR-07,baseline,0,2025-01-09T22:37:05,2025-01-10T00:37:05,Night,DTC web,3,0,0,122.4,0,0,1
BL-10177,EWR-07,baseline,0,2025-01-09T22:50:32,2025-01-10T00:50:32,Night,DTC web,2,1,0,115.2,0,0,0
BL-10178,EWR-07,baseline,0,2025-01-09T22:13:09,2025-01-10T00:13:09,Night,DTC web,2,1,0,106.0,0,0,0
BL-10179,EWR-07,baseline,0,2025-01-09T22:22:36,2025-01-10T00:22:36,Night,Store replen,1,0,0,109.5,0,0,0
BL-10180,EWR-07,baseline,0,2025-01-09T22:44:42,2025-01-10T00:44:42,Night,Store replen,3,0,0,110.6,0,0,0
BL-10181,EWR-07,baseline,0,2025-01-09T22:13:19,2025-01-10T00:13:19,Night,Marketplace,2,1,0,106.5,0,0,0
BL-10182,EWR-07,baseline,0,2025-01-09T22:10:07,2025-01-10T00:10:07,Night,DTC web,2,1,0,110.9,0,0,0
BL-10183,EWR-07,baseline,0,2025-01-09T22:22:34,2025-01-10T00:22:34,Night,Store replen,3,0,0,126.9,0,0,1
BL-10184,FNT-12,baseline,0,2025-01-09T06:32:39,2025-01-09T08:32:39,Days,DTC web,4,0,0,122.1,1,1,1
BL-10185,FNT-12,baseline,0,2025-01-09T06:51:12,2025-01-09T08:51:12,Days,Store replen,3,0,0,101.1,0,0,0
BL-10186,FNT-12,baseline,0,2025-01-09T06:46:48,2025-01-09T08:46:48,Days,Marketplace,1,1,0,91.5,0,0,0
BL-10187,FNT-12,baseline,0,2025-01-09T06:49:24,2025-01-09T08:49:24,Days,Store replen,5,0,0,149.4,0,0,1
BL-10188,FNT-12,baseline,0,2025-01-09T06:18:17,2025-01-09T08:18:17,Days,Store replen,4,0,0,146.4,2,1,1
BL-10189,FNT-12,baseline,0,2025-01-09T06:29:19,2025-01-09T08:29:19,Days,DTC web,3,0,0,112.2,1,1,0
BL-10190,FNT-12,baseline,0,2025-01-09T06:40:44,2025-01-09T08:40:44,Days,Marketplace,8,0,0,147.7,0,0,1
BL-10191,FNT-12,baseline,0,2025-01-09T06:47:45,2025-01-09T08:47:45,Days,DTC web,2,1,0,101.7,0,0,0
BL-10192,FNT-12,baseline,0,2025-01-09T06:25:27,2025-01-09T08:25:27,Days,Marketplace,6,0,0,141.9,1,1,1
BL-10193,FNT-12,baseline,0,2025-01-09T14:19:00,2025-01-09T16:19:00,Swing,DTC web,3,0,0,105.0,1,1,0
BL-10194,FNT-12,baseline,0,2025-01-09T14:38:24,2025-01-09T16:38:24,Swing,DTC web,8,0,0,147.2,0,0,1
BL-10195,FNT-12,baseline,0,2025-01-09T14:17:23,2025-01-09T16:17:23,Swing,Marketplace,3,0,0,125.4,1,1,1
BL-10196,FNT-12,baseline,0,2025-01-09T14:28:18,2025-01-09T16:28:18,Swing,Marketplace,2,1,0,94.2,1,1,0
BL-10197,FNT-12,baseline,0,2025-01-09T22:21:14,2025-01-10T00:21:14,Night,Store replen,1,0,0,107.2,1,1,0
BL-10198,FNT-12,baseline,0,2025-01-09T22:37:29,2025-01-10T00:37:29,Night,DTC web,2,0,0,128.3,0,0,1
BL-10199,FNT-12,baseline,0,2025-01-09T22:47:11,2025-01-10T00:47:11,Night,Marketplace,6,0,0,134.1,0,0,1
BL-10200,FNT-12,baseline,0,2025-01-09T22:27:00,2025-01-10T00:27:00,Night,DTC web,2,1,0,124.7,0,0,1
BL-10201,FNT-12,baseline,0,2025-01-09T22:40:04,2025-01-10T00:40:04,Night,DTC web,6,0,0,141.0,1,1,1
