order_id,step_id,step_name,step_seq,started_at,ended_at,dwell_minutes
BL-10005,slot_locate,Slot locate,2,2025-01-06T06:29:17,2025-01-06T06:36:17,7.0
BL-10005,pick,Pick,3,2025-01-06T06:36:17,2025-01-06T07:10:41,34.4
BL-10005,pack,Pack,4,2025-01-06T07:10:41,2025-01-06T07:18:35,7.9
BL-10005,qc,QC gate,5,2025-01-06T07:18:35,2025-01-06T07:33:47,15.2
BL-10005,stage_ship,Stage & ship,6,2025-01-06T07:33:47,2025-01-06T07:39:23,5.6
BL-10006,wave_release,Wave release,1,2025-01-06T06:29:35,2025-01-06T06:37:05,7.5
BL-10006,slot_locate,Slot locate,2,2025-01-06T06:37:05,2025-01-06T06:45:17,8.2
BL-10006,pick,Pick,3,2025-01-06T06:45:17,2025-01-06T07:14:35,29.3
BL-10006,pack,Pack,4,2025-01-06T07:14:35,2025-01-06T07:24:29,9.9
BL-10006,qc,QC gate,5,2025-01-06T07:24:29,2025-01-06T07:34:05,9.6
BL-10006,stage_ship,Stage & ship,6,2025-01-06T07:34:05,2025-01-06T07:41:59,7.9
BL-10007,wave_release,Wave release,1,2025-01-06T06:26:24,2025-01-06T06:30:36,4.2
BL-10007,slot_locate,Slot locate,2,2025-01-06T06:30:36,2025-01-06T06:41:54,11.3
BL-10007,pick,Pick,3,2025-01-06T06:41:54,2025-01-06T07:36:12,54.3
BL-10007,pack,Pack,4,2025-01-06T07:36:12,2025-01-06T07:44:12,8.0
BL-10007,qc,QC gate,5,2025-01-06T07:44:12,2025-01-06T07:58:12,14.0
BL-10007,stage_ship,Stage & ship,6,2025-01-06T07:58:12,2025-01-06T08:06:54,8.7
BL-10008,wave_release,Wave release,1,2025-01-06T06:35:45,2025-01-06T06:42:21,6.6
BL-10008,slot_locate,Slot locate,2,2025-01-06T06:42:21,2025-01-06T06:49:27,7.1
BL-10008,pick,Pick,3,2025-01-06T06:49:27,2025-01-06T07:17:15,27.8
BL-10008,pack,Pack,4,2025-01-06T07:17:15,2025-01-06T07:28:33,11.3
BL-10008,qc,QC gate,5,2025-01-06T07:28:33,2025-01-06T07:39:33,11.0
BL-10008,stage_ship,Stage & ship,6,2025-01-06T07:39:33,2025-01-06T07:52:45,13.2
BL-10009,wave_release,Wave release,1,2025-01-06T14:40:37,2025-01-06T14:48:25,7.8
BL-10009,slot_locate,Slot locate,2,2025-01-06T14:48:25,2025-01-06T14:59:37,11.2
BL-10009,pick,Pick,3,2025-01-06T14:59:37,2025-01-06T15:39:49,40.2
BL-10009,pack,Pack,4,2025-01-06T15:39:49,2025-01-06T15:52:37,12.8
BL-10009,qc,QC gate,5,2025-01-06T15:52:37,2025-01-06T16:09:19,16.7
BL-10009,stage_ship,Stage & ship,6,2025-01-06T16:09:19,2025-01-06T16:17:55,8.6
BL-10010,wave_release,Wave release,1,2025-01-06T14:50:06,2025-01-06T14:55:06,5.0
BL-10010,slot_locate,Slot locate,2,2025-01-06T14:55:06,2025-01-06T15:03:42,8.6
BL-10010,pick,Pick,3,2025-01-06T15:03:42,2025-01-06T15:39:48,36.1
BL-10010,pack,Pack,4,2025-01-06T15:39:48,2025-01-06T15:54:42,14.9
BL-10010,qc,QC gate,5,2025-01-06T15:54:42,2025-01-06T16:09:24,14.7
BL-10010,stage_ship,Stage & ship,6,2025-01-06T16:09:24,2025-01-06T16:17:18,7.9
BL-10011,wave_release,Wave release,1,2025-01-06T14:14:31,2025-01-06T14:18:25,3.9
BL-10011,slot_locate,Slot locate,2,2025-01-06T14:18:25,2025-01-06T14:23:13,4.8
BL-10011,pick,Pick,3,2025-01-06T14:23:13,2025-01-06T14:57:37,34.4
BL-10011,pack,Pack,4,2025-01-06T14:57:37,2025-01-06T15:08:01,10.4
BL-10011,qc,QC gate,5,2025-01-06T15:08:01,2025-01-06T15:15:49,7.8
BL-10011,stage_ship,Stage & ship,6,2025-01-06T15:15:49,2025-01-06T15:22:01,6.2
BL-10012,wave_release,Wave release,1,2025-01-06T14:41:30,2025-01-06T14:45:06,3.6
BL-10012,slot_locate,Slot locate,2,2025-01-06T14:45:06,2025-01-06T15:02:42,17.6
BL-10012,pick,Pick,3,2025-01-06T15:02:42,2025-01-06T15:44:00,41.3
BL-10012,pack,Pack,4,2025-01-06T15:44:00,2025-01-06T16:04:48,20.8
BL-10012,qc,QC gate,5,2025-01-06T16:04:48,2025-01-06T16:18:06,13.3
BL-10012,stage_ship,Stage & ship,6,2025-01-06T16:18:06,2025-01-06T16:27:36,9.5
BL-10013,wave_release,Wave release,1,2025-01-06T14:33:07,2025-01-06T14:39:55,6.8
BL-10013,slot_locate,Slot locate,2,2025-01-06T14:39:55,2025-01-06T14:48:07,8.2
BL-10013,pick,Pick,3,2025-01-06T14:48:07,2025-01-06T15:16:01,27.9
BL-10013,pack,Pack,4,2025-01-06T15:16:01,2025-01-06T15:30:01,14.0
BL-10013,qc,QC gate,5,2025-01-06T15:30:01,2025-01-06T16:01:25,31.4
BL-10013,stage_ship,Stage & ship,6,2025-01-06T16:01:25,2025-01-06T16:14:37,13.2
BL-10014,wave_release,Wave release,1,2025-01-06T14:20:02,2025-01-06T14:26:38,6.6
BL-10014,slot_locate,Slot locate,2,2025-01-06T14:26:38,2025-01-06T14:31:56,5.3
BL-10014,pick,Pick,3,2025-01-06T14:31:56,2025-01-06T15:05:50,33.9
BL-10014,pack,Pack,4,2025-01-06T15:05:50,2025-01-06T15:17:38,11.8
BL-10014,qc,QC gate,5,2025-01-06T15:17:38,2025-01-06T15:30:50,13.2
BL-10014,stage_ship,Stage & ship,6,2025-01-06T15:30:50,2025-01-06T15:43:38,12.8
BL-10015,wave_release,Wave release,1,2025-01-06T22:27:23,2025-01-06T22:32:05,4.7
BL-10015,slot_locate,Slot locate,2,2025-01-06T22:32:05,2025-01-06T22:41:05,9.0
BL-10015,pick,Pick,3,2025-01-06T22:41:05,2025-01-06T23:34:11,53.1
BL-10015,pack,Pack,4,2025-01-06T23:34:11,2025-01-06T23:55:23,21.2
BL-10015,qc,QC gate,5,2025-01-06T23:55:23,2025-01-07T00:13:41,18.3
BL-10015,stage_ship,Stage & ship,6,2025-01-07T00:13:41,2025-01-07T00:22:29,8.8
BL-10016,wave_release,Wave release,1,2025-01-06T22:15:36,2025-01-06T22:22:00,6.4
BL-10016,slot_locate,Slot locate,2,2025-01-06T22:22:00,2025-01-06T22:29:30,7.5
BL-10016,pick,Pick,3,2025-01-06T22:29:30,2025-01-06T22:59:24,29.9
BL-10016,pack,Pack,4,2025-01-06T22:59:24,2025-01-06T23:15:06,15.7
BL-10016,qc,QC gate,5,2025-01-06T23:15:06,2025-01-06T23:27:18,12.2
BL-10016,stage_ship,Stage & ship,6,2025-01-06T23:27:18,2025-01-06T23:33:30,6.2
BL-10017,wave_release,Wave release,1,2025-01-06T22:30:30,2025-01-06T22:38:42,8.2
BL-10017,slot_locate,Slot locate,2,2025-01-06T22:38:42,2025-01-06T22:45:06,6.4
BL-10017,pick,Pick,3,2025-01-06T22:45:06,2025-01-06T23:12:48,27.7
BL-10017,pack,Pack,4,2025-01-06T23:12:48,2025-01-06T23:27:24,14.6
BL-10017,qc,QC gate,5,2025-01-06T23:27:24,2025-01-06T23:41:06,13.7
BL-10017,stage_ship,Stage & ship,6,2025-01-06T23:41:06,2025-01-06T23:52:42,11.6
BL-10018,wave_release,Wave release,1,2025-01-06T06:11:46,2025-01-06T06:18:58,7.2
BL-10018,slot_locate,Slot locate,2,2025-01-06T06:18:58,2025-01-06T06:30:58,12.0
BL-10018,pick,Pick,3,2025-01-06T06:30:58,2025-01-06T07:23:04,52.1
BL-10018,pack,Pack,4,2025-01-06T07:23:04,2025-01-06T07:49:10,26.1
BL-10018,qc,QC gate,5,2025-01-06T07:49:10,2025-01-06T07:59:16,10.1
BL-10018,stage_ship,Stage & ship,6,2025-01-06T07:59:16,2025-01-06T08:07:58,8.7
BL-10019,wave_release,Wave release,1,2025-01-06T06:26:14,2025-01-06T06:30:14,4.0
BL-10019,slot_locate,Slot locate,2,2025-01-06T06:30:14,2025-01-06T06:38:56,8.7
BL-10019,pick,Pick,3,2025-01-06T06:38:56,2025-01-06T07:19:38,40.7
BL-10019,pack,Pack,4,2025-01-06T07:19:38,2025-01-06T07:34:56,15.3
BL-10019,qc,QC gate,5,2025-01-06T07:34:56,2025-01-06T07:52:14,17.3
BL-10019,stage_ship,Stage & ship,6,2025-01-06T08:02:32,2025-01-06T08:12:44,10.2
BL-10020,wave_release,Wave release,1,2025-01-06T06:08:45,2025-01-06T06:12:39,3.9
BL-10020,slot_locate,Slot locate,2,2025-01-06T06:12:39,2025-01-06T06:19:51,7.2
BL-10020,pick,Pick,3,2025-01-06T06:19:51,2025-01-06T06:49:27,29.6
BL-10020,pack,Pack,4,2025-01-06T06:49:27,2025-01-06T07:08:45,19.3
BL-10020,qc,QC gate,5,2025-01-06T07:08:45,2025-01-06T07:24:51,16.1
BL-10020,stage_ship,Stage & ship,6,2025-01-06T07:24:51,2025-01-06T07:34:21,9.5
BL-10021,wave_release,Wave release,1,2025-01-06T06:32:31,2025-01-06T06:36:31,4.0
BL-10021,slot_locate,Slot locate,2,2025-01-06T06:36:31,2025-01-06T06:43:01,6.5
BL-10021,pick,Pick,3,2025-01-06T06:43:01,2025-01-06T07:20:25,37.4
BL-10021,pack,Pack,4,2025-01-06T07:20:25,2025-01-06T07:38:55,18.5
BL-10021,qc,QC gate,5,2025-01-06T07:38:55,2025-01-06T07:53:19,14.4
BL-10021,stage_ship,Stage & ship,6,2025-01-06T07:53:19,2025-01-06T08:01:37,8.3
BL-10022,wave_release,Wave release,1,2025-01-06T06:19:31,2025-01-06T06:29:07,9.6
BL-10022,slot_locate,Slot locate,2,2025-01-06T06:29:07,2025-01-06T06:39:13,10.1
BL-10022,pick,Pick,3,2025-01-06T06:39:13,2025-01-06T08:01:07,81.9
BL-10022,pack,Pack,4,2025-01-06T08:01:07,2025-01-06T08:17:07,16.0
BL-10022,qc,QC gate,5,2025-01-06T08:17:07,2025-01-06T08:34:49,17.7
BL-10022,stage_ship,Stage & ship,6,2025-01-06T08:34:49,2025-01-06T08:41:19,6.5
BL-10023,wave_release,Wave release,1,2025-01-06T14:12:28,2025-01-06T14:18:34,6.1
BL-10023,slot_locate,Slot locate,2,2025-01-06T14:18:34,2025-01-06T14:28:40,10.1
BL-10023,pick,Pick,3,2025-01-06T14:28:40,2025-01-06T15:32:34,63.9
BL-10023,pack,Pack,4,2025-01-06T15:32:34,2025-01-06T15:44:46,12.2
BL-10023,qc,QC gate,5,2025-01-06T15:44:46,2025-01-06T15:59:22,14.6
BL-10023,stage_ship,Stage & ship,6,2025-01-06T15:59:22,2025-01-06T16:10:40,11.3
BL-10024,wave_release,Wave release,1,2025-01-06T14:46:42,2025-01-06T14:50:06,3.4
BL-10024,slot_locate,Slot locate,2,2025-01-06T14:50:06,2025-01-06T15:02:12,12.1
BL-10024,pick,Pick,3,2025-01-06T15:02:12,2025-01-06T15:41:00,38.8
BL-10024,pack,Pack,4,2025-01-06T15:41:00,2025-01-06T15:48:12,7.2
BL-10024,qc,QC gate,5,2025-01-06T15:48:12,2025-01-06T16:18:48,30.6
BL-10024,stage_ship,Stage & ship,6,2025-01-06T16:18:48,2025-01-06T16:27:12,8.4
BL-10025,wave_release,Wave release,1,2025-01-06T14:14:35,2025-01-06T14:19:23,4.8
BL-10025,slot_locate,Slot locate,2,2025-01-06T14:19:23,2025-01-06T14:32:23,13.0
BL-10025,pick,Pick,3,2025-01-06T14:32:23,2025-01-06T14:57:11,24.8
BL-10025,pack,Pack,4,2025-01-06T14:57:11,2025-01-06T15:11:17,14.1
BL-10025,qc,QC gate,5,2025-01-06T15:11:17,2025-01-06T15:25:59,14.7
BL-10025,stage_ship,Stage & ship,6,2025-01-06T15:25:59,2025-01-06T15:35:59,10.0
BL-10026,wave_release,Wave release,1,2025-01-06T14:29:23,2025-01-06T14:37:11,7.8
BL-10026,slot_locate,Slot locate,2,2025-01-06T14:37:11,2025-01-06T14:44:11,7.0
BL-10026,pick,Pick,3,2025-01-06T14:44:11,2025-01-06T15:15:47,31.6
BL-10026,pack,Pack,4,2025-01-06T15:15:47,2025-01-06T15:29:59,14.2
BL-10026,qc,QC gate,5,2025-01-06T15:29:59,2025-01-06T15:45:47,15.8
BL-10026,stage_ship,Stage & ship,6,2025-01-06T15:45:47,2025-01-06T15:53:23,7.6
BL-10027,wave_release,Wave release,1,2025-01-06T22:45:26,2025-01-06T22:51:20,5.9
BL-10027,slot_locate,Slot locate,2,2025-01-06T22:51:20,2025-01-06T23:01:44,10.4
BL-10027,pick,Pick,3,2025-01-06T23:01:44,2025-01-06T23:37:38,35.9
BL-10027,pack,Pack,4,2025-01-06T23:49:38,2025-01-07T00:02:20,12.7
BL-10027,qc,QC gate,5,2025-01-07T00:02:20,2025-01-07T00:14:44,12.4
BL-10027,stage_ship,Stage & ship,6,2025-01-07T00:14:44,2025-01-07T00:28:32,13.8
BL-10028,wave_release,Wave release,1,2025-01-06T22:36:45,2025-01-06T22:43:15,6.5
BL-10028,slot_locate,Slot locate,2,2025-01-06T22:43:15,2025-01-06T22:49:57,6.7
BL-10028,pick,Pick,3,2025-01-06T22:49:57,2025-01-06T23:46:39,56.7
BL-10028,pack,Pack,4,2025-01-06T23:46:39,2025-01-07T00:00:51,14.2
BL-10028,qc,QC gate,5,2025-01-07T00:00:51,2025-01-07T00:15:09,14.3
BL-10028,stage_ship,Stage & ship,6,2025-01-07T00:15:09,2025-01-07T00:24:15,9.1
BL-10029,wave_release,Wave release,1,2025-01-06T22:45:23,2025-01-06T22:52:47,7.4
BL-10029,slot_locate,Slot locate,2,2025-01-06T22:52:47,2025-01-06T22:58:47,6.0
BL-10029,pick,Pick,3,2025-01-06T22:58:47,2025-01-06T23:31:05,32.3
BL-10029,pack,Pack,4,2025-01-06T23:31:05,2025-01-06T23:42:23,11.3
BL-10029,qc,QC gate,5,2025-01-06T23:42:23,2025-01-06T23:56:47,14.4
BL-10029,stage_ship,Stage & ship,6,2025-01-06T23:56:47,2025-01-07T00:08:53,12.1
BL-10030,wave_release,Wave release,1,2025-01-06T22:47:11,2025-01-06T22:52:41,5.5
BL-10030,slot_locate,Slot locate,2,2025-01-06T22:52:41,2025-01-06T22:59:41,7.0
BL-10030,pick,Pick,3,2025-01-06T22:59:41,2025-01-06T23:59:11,59.5
BL-10030,pack,Pack,4,2025-01-06T23:59:11,2025-01-07T00:13:29,14.3
BL-10030,qc,QC gate,5,2025-01-07T00:13:29,2025-01-07T00:31:05,17.6
BL-10030,stage_ship,Stage & ship,6,2025-01-07T00:31:05,2025-01-07T00:40:53,9.8
BL-10031,wave_release,Wave release,1,2025-01-06T22:37:04,2025-01-06T22:41:34,4.5
BL-10031,slot_locate,Slot locate,2,2025-01-06T22:41:34,2025-01-06T22:52:28,10.9
BL-10031,pick,Pick,3,2025-01-06T22:52:28,2025-01-07T00:14:16,81.8
BL-10031,pack,Pack,4,2025-01-07T00:14:16,2025-01-07T00:37:16,23.0
BL-10031,qc,QC gate,5,2025-01-07T00:37:16,2025-01-07T00:57:10,19.9
BL-10031,stage_ship,Stage & ship,6,2025-01-07T01:08:52,2025-01-07T01:22:28,13.6
BL-10032,wave_release,Wave release,1,2025-01-06T22:47:47,2025-01-06T22:53:11,5.4
BL-10032,slot_locate,Slot locate,2,2025-01-06T22:53:11,2025-01-06T23:04:11,11.0
BL-10032,pick,Pick,3,2025-01-06T23:04:11,2025-01-06T23:45:41,41.5
BL-10032,pack,Pack,4,2025-01-06T23:45:41,2025-01-07T00:04:41,19.0
BL-10032,qc,QC gate,5,2025-01-07T00:04:41,2025-01-07T00:34:47,30.1
BL-10032,stage_ship,Stage & ship,6,2025-01-07T00:34:47,2025-01-07T00:46:05,11.3
BL-10033,wave_release,Wave release,1,2025-01-06T22:35:21,2025-01-06T22:41:57,6.6
BL-10033,slot_locate,Slot locate,2,2025-01-06T22:41:57,2025-01-06T22:54:45,12.8
BL-10033,pick,Pick,3,2025-01-06T22:54:45,2025-01-07T00:02:27,67.7
BL-10033,pack,Pack,4,2025-01-07T00:06:27,2025-01-07T00:19:03,12.6
BL-10033,qc,QC gate,5,2025-01-07T00:19:03,2025-01-07T00:37:03,18.0
BL-10033,stage_ship,Stage & ship,6,2025-01-07T00:37:03,2025-01-07T00:46:45,9.7
BL-10034,wave_release,Wave release,1,2025-01-06T22:35:19,2025-01-06T22:41:25,6.1
BL-10034,slot_locate,Slot locate,2,2025-01-06T22:41:25,2025-01-06T22:49:31,8.1
BL-10034,pick,Pick,3,2025-01-06T22:49:31,2025-01-06T23:57:55,68.4
BL-10034,pack,Pack,4,2025-01-06T23:57:55,2025-01-07T00:10:19,12.4
BL-10034,qc,QC gate,5,2025-01-07T00:10:19,2025-01-07T00:32:49,22.5
BL-10034,stage_ship,Stage & ship,6,2025-01-07T00:32:49,2025-01-07T00:40:07,7.3
BL-10035,wave_release,Wave release,1,2025-01-06T22:22:11,2025-01-06T22:29:11,7.0
BL-10035,slot_locate,Slot locate,2,2025-01-06T22:29:11,2025-01-06T22:38:53,9.7
BL-10035,pick,Pick,3,2025-01-06T22:53:05,2025-01-06T23:14:53,21.8
BL-10035,pack,Pack,4,2025-01-06T23:14:53,2025-01-06T23:34:35,19.7
BL-10035,qc,QC gate,5,2025-01-06T23:34:35,2025-01-06T23:48:17,13.7
BL-10035,stage_ship,Stage & ship,6,2025-01-06T23:48:17,2025-01-06T23:58:47,10.5
BL-10036,wave_release,Wave release,1,2025-01-06T22:31:30,2025-01-06T22:38:42,7.2
BL-10036,slot_locate,Slot locate,2,2025-01-06T22:38:42,2025-01-06T22:52:24,13.7
BL-10036,pick,Pick,3,2025-01-06T22:52:24,2025-01-07T00:14:54,82.5
BL-10036,pack,Pack,4,2025-01-07T00:14:54,2025-01-07T00:31:48,16.9
BL-10036,qc,QC gate,5,2025-01-07T00:31:48,2025-01-07T00:50:54,19.1
BL-10036,stage_ship,Stage & ship,6,2025-01-07T00:50:54,2025-01-07T00:58:30,7.6
BL-10037,wave_release,Wave release,1,2025-01-06T06:37:34,2025-01-06T06:43:34,6.0
BL-10037,slot_locate,Slot locate,2,2025-01-06T06:43:34,2025-01-06T06:52:34,9.0
BL-10037,pick,Pick,3,2025-01-06T06:52:34,2025-01-06T07:23:52,31.3
BL-10037,pack,Pack,4,2025-01-06T07:23:52,2025-01-06T07:36:52,13.0
BL-10037,qc,QC gate,5,2025-01-06T07:36:52,2025-01-06T07:56:10,19.3
BL-10037,stage_ship,Stage & ship,6,2025-01-06T07:56:10,2025-01-06T08:02:46,6.6
BL-10038,wave_release,Wave release,1,2025-01-06T06:45:43,2025-01-06T06:51:19,5.6
BL-10038,slot_locate,Slot locate,2,2025-01-06T06:51:19,2025-01-06T07:01:13,9.9
BL-10038,pick,Pick,3,2025-01-06T07:01:13,2025-01-06T08:04:13,63.0
BL-10038,pack,Pack,4,2025-01-06T08:04:13,2025-01-06T08:17:31,13.3
BL-10038,qc,QC gate,5,2025-01-06T08:17:31,2025-01-06T08:34:31,17.0
BL-10038,stage_ship,Stage & ship,6,2025-01-06T08:34:31,2025-01-06T08:45:19,10.8
BL-10039,wave_release,Wave release,1,2025-01-06T06:19:08,2025-01-06T06:23:56,4.8
BL-10039,slot_locate,Slot locate,2,2025-01-06T06:23:56,2025-01-06T06:37:56,14.0
BL-10039,pick,Pick,3,2025-01-06T06:37:56,2025-01-06T08:35:26,117.5
BL-10039,pack,Pack,4,2025-01-06T08:35:26,2025-01-06T08:51:02,15.6
BL-10039,qc,QC gate,5,2025-01-06T08:51:02,2025-01-06T09:07:50,16.8
BL-10039,stage_ship,Stage & ship,6,2025-01-06T09:07:50,2025-01-06T09:18:50,11.0
BL-10040,wave_release,Wave release,1,2025-01-06T06:33:29,2025-01-06T06:39:35,6.1
BL-10040,slot_locate,Slot locate,2,2025-01-06T06:39:35,2025-01-06T06:49:29,9.9
BL-10040,pick,Pick,3,2025-01-06T06:49:29,2025-01-06T07:43:23,53.9
BL-10040,pack,Pack,4,2025-01-06T07:43:23,2025-01-06T07:54:23,11.0
BL-10040,qc,QC gate,5,2025-01-06T07:54:23,2025-01-06T08:11:53,17.5
BL-10040,stage_ship,Stage & ship,6,2025-01-06T08:11:53,2025-01-06T08:24:11,12.3
BL-10041,wave_release,Wave release,1,2025-01-06T06:29:26,2025-01-06T06:33:14,3.8
BL-10041,slot_locate,Slot locate,2,2025-01-06T06:33:14,2025-01-06T06:42:08,8.9
BL-10041,pick,Pick,3,2025-01-06T06:42:08,2025-01-06T07:14:50,32.7
BL-10041,pack,Pack,4,2025-01-06T07:14:50,2025-01-06T07:31:08,16.3
BL-10041,qc,QC gate,5,2025-01-06T07:31:08,2025-01-06T07:44:20,13.2
BL-10041,stage_ship,Stage & ship,6,2025-01-06T07:44:20,2025-01-06T07:52:08,7.8
BL-10042,wave_release,Wave release,1,2025-01-06T14:11:12,2025-01-06T14:17:24,6.2
BL-10042,slot_locate,Slot locate,2,2025-01-06T14:17:24,2025-01-06T14:30:36,13.2
BL-10042,pick,Pick,3,2025-01-06T14:30:36,2025-01-06T15:42:00,71.4
BL-10042,pack,Pack,4,2025-01-06T15:42:00,2025-01-06T15:53:30,11.5
BL-10042,qc,QC gate,5,2025-01-06T15:53:30,2025-01-06T16:06:48,13.3
BL-10042,stage_ship,Stage & ship,6,2025-01-06T16:06:48,2025-01-06T16:17:54,11.1
BL-10043,wave_release,Wave release,1,2025-01-06T14:16:12,2025-01-06T14:22:24,6.2
BL-10043,slot_locate,Slot locate,2,2025-01-06T14:22:24,2025-01-06T14:32:24,10.0
BL-10043,pick,Pick,3,2025-01-06T14:32:24,2025-01-06T15:31:24,59.0
BL-10043,pack,Pack,4,2025-01-06T15:31:24,2025-01-06T15:46:00,14.6
BL-10043,qc,QC gate,5,2025-01-06T15:46:00,2025-01-06T16:03:12,17.2
BL-10043,stage_ship,Stage & ship,6,2025-01-06T16:03:12,2025-01-06T16:16:36,13.4
BL-10044,wave_release,Wave release,1,2025-01-06T14:14:08,2025-01-06T14:20:56,6.8
BL-10044,slot_locate,Slot locate,2,2025-01-06T14:20:56,2025-01-06T14:30:32,9.6
BL-10044,pick,Pick,3,2025-01-06T14:30:32,2025-01-06T15:14:14,43.7
BL-10044,pack,Pack,4,2025-01-06T15:14:14,2025-01-06T15:31:08,16.9
BL-10044,qc,QC gate,5,2025-01-06T15:31:08,2025-01-06T15:42:38,11.5
BL-10044,stage_ship,Stage & ship,6,2025-01-06T15:42:38,2025-01-06T15:53:56,11.3
BL-10045,wave_release,Wave release,1,2025-01-06T14:32:02,2025-01-06T14:37:02,5.0
BL-10045,slot_locate,Slot locate,2,2025-01-06T14:37:02,2025-01-06T14:47:26,10.4
BL-10045,pick,Pick,3,2025-01-06T14:47:26,2025-01-06T16:16:56,89.5
BL-10045,pack,Pack,4,2025-01-06T16:16:56,2025-01-06T16:34:44,17.8
BL-10045,qc,QC gate,5,2025-01-06T16:34:44,2025-01-06T16:48:08,13.4
BL-10045,stage_ship,Stage & ship,6,2025-01-06T16:48:08,2025-01-06T16:57:20,9.2
BL-10046,wave_release,Wave release,1,2025-01-06T14:11:23,2025-01-06T14:16:59,5.6
BL-10046,slot_locate,Slot locate,2,2025-01-06T14:16:59,2025-01-06T14:28:05,11.1
BL-10046,pick,Pick,3,2025-01-06T14:28:05,2025-01-06T15:41:59,73.9
BL-10046,pack,Pack,4,2025-01-06T15:41:59,2025-01-06T15:57:05,15.1
BL-10046,qc,QC gate,5,2025-01-06T15:57:05,2025-01-06T16:17:35,20.5
BL-10046,stage_ship,Stage & ship,6,2025-01-06T16:17:35,2025-01-06T16:28:05,10.5
BL-10047,wave_release,Wave release,1,2025-01-06T14:16:32,2025-01-06T14:23:50,7.3
BL-10047,slot_locate,Slot locate,2,2025-01-06T14:40:38,2025-01-06T14:48:32,7.9
BL-10047,pick,Pick,3,2025-01-06T14:48:32,2025-01-06T15:20:08,31.6
BL-10047,pack,Pack,4,2025-01-06T15:20:08,2025-01-06T15:35:44,15.6
BL-10047,qc,QC gate,5,2025-01-06T15:35:44,2025-01-06T15:51:32,15.8
BL-10047,stage_ship,Stage & ship,6,2025-01-06T15:51:32,2025-01-06T16:02:32,11.0
BL-10048,wave_release,Wave release,1,2025-01-06T22:10:16,2025-01-06T22:18:52,8.6
BL-10048,slot_locate,Slot locate,2,2025-01-06T22:18:52,2025-01-06T22:27:40,8.8
BL-10048,pick,Pick,3,2025-01-06T22:27:40,2025-01-06T23:39:16,71.6
BL-10048,pack,Pack,4,2025-01-06T23:39:16,2025-01-06T23:55:16,16.0
BL-10048,qc,QC gate,5,2025-01-06T23:55:16,2025-01-07T00:15:28,20.2
BL-10048,stage_ship,Stage & ship,6,2025-01-07T00:15:28,2025-01-07T00:25:34,10.1
BL-10049,wave_release,Wave release,1,2025-01-06T22:08:37,2025-01-06T22:16:01,7.4
BL-10049,slot_locate,Slot locate,2,2025-01-06T22:16:01,2025-01-06T22:26:25,10.4
BL-10049,pick,Pick,3,2025-01-06T22:26:25,2025-01-06T23:18:49,52.4
BL-10049,pack,Pack,4,2025-01-06T23:18:49,2025-01-06T23:35:07,16.3
BL-10049,qc,QC gate,5,2025-01-06T23:41:49,2025-01-07T00:05:55,24.1
