order_id,order_date,validation_time,validation_errors,inventory_time,stock_issues,payment_time,payment_issues,picking_time,picking_errors,qc_time,qc_rejects,shipping_time,total_cycle_time_minutes,total_errors,rework_required
ORD-1038,2024-01-09,30.4,0,21.3,0,49.7,0,62.5,0,14.6,0,25.0,203.5,0,0
ORD-1039,2024-01-10,26.5,0,43.8,0,65.8,0,73.9,0,25.3,0,11.6,246.9,1,0
ORD-1040,2024-01-11,30.3,0,31.0,0,59.1,0,82.5,0,23.2,0,19.6,245.7,0,0
ORD-1041,2024-01-12,26.7,0,22.9,0,33.2,0,29.3,0,20.0,0,17.9,150.0,0,0
ORD-1042,2024-01-13,36.0,0,17.9,0,49.8,0,87.7,0,14.2,0,16.1,221.7,0,0
ORD-1043,2024-01-14,30.2,0,36.2,0,30.8,0,86.7,0,25.5,0,14.2,223.6,1,0
ORD-1044,2024-01-15,18.4,0,14.1,0,43.3,0,58.7,0,23.9,0,12.3,170.7,1,0
ORD-1045,2024-01-16,35.5,0,38.8,0,30.1,0,81.1,0,1.4,0,20.6,207.5,0,0
ORD-1046,2024-01-17,29.2,0,30.4,0,60.4,0,60.3,0,7.4,0,13.9,201.6,0,0
ORD-1047,2024-01-18,7.3,0,47.2,0,63.4,0,43.0,0,18.1,0,12.8,191.8,0,0
ORD-1048,2024-01-19,21.5,0,25.8,0,38.8,0,33.4,0,23.7,0,21.9,165.1,0,0
ORD-1049,2024-01-20,19.9,0,28.3,0,44.6,0,54.8,0,18.3,0,20.2,186.1,1,0
ORD-1050,2024-01-21,16.6,0,37.8,0,48.8,0,74.9,0,30.2,0,9.8,218.1,0,0
ORD-1051,2024-01-22,22.5,0,52.3,0,40.1,0,49.6,0,24.9,0,13.9,203.3,0,0
ORD-1052,2024-01-23,26.6,0,28.6,0,86.3,0,69.8,0,10.8,0,9.5,231.6,0,0
ORD-1053,2024-01-24,32.9,0,24.7,0,42.1,0,37.6,0,16.8,0,16.7,170.8,0,0
ORD-1054,2024-01-25,26.0,0,26.7,0,52.7,0,28.8,0,11.3,1,16.4,242.9,0,1
ORD-1055,2024-01-26,31.0,0,45.0,0,26.2,0,50.5,0,15.2,0,22.7,190.6,0,0
ORD-1056,2024-01-27,29.9,0,21.8,0,64.8,0,37.1,0,14.6,0,15.6,183.8,0,0
ORD-1057,2024-01-28,26.0,0,20.5,0,36.6,0,44.7,0,25.1,0,16.9,169.8,0,0
ORD-1058,2024-01-29,20.8,0,48.5,0,52.0,0,65.0,0,16.2,0,7.7,210.2,0,0
ORD-1059,2024-01-30,16.6,0,43.2,0,36.2,0,61.2,0,6.7,0,20.2,184.1,1,0
ORD-1060,2024-01-01,33.5,0,19.0,0,43.8,0,56.3,0,13.0,0,21.7,187.3,0,0
ORD-1061,2024-01-02,18.6,0,35.7,0,30.2,0,56.6,0,13.9,1,7.2,243.3,0,1
ORD-1062,2024-01-03,44.7,0,18.7,0,13.1,0,46.7,0,11.3,0,11.0,145.5,0,0
ORD-1063,2024-01-04,30.9,0,45.1,0,58.9,0,60.5,0,21.5,0,19.3,236.2,0,0
ORD-1064,2024-01-05,25.2,0,12.3,0,44.9,0,62.4,0,28.7,0,15.8,189.3,0,0
ORD-1065,2024-01-06,16.8,0,18.1,0,30.5,0,30.4,0,24.4,0,14.0,134.2,0,0
ORD-1066,2024-01-07,25.7,0,48.6,0,72.4,0,83.8,0,14.7,0,15.8,261.0,0,0
ORD-1067,2024-01-08,8.8,0,15.9,0,39.9,0,24.4,0,23.1,0,18.7,130.8,1,0
ORD-1068,2024-01-09,34.4,0,28.2,0,57.2,0,45.5,0,24.3,0,13.8,203.4,1,0
ORD-1069,2024-01-10,36.0,0,47.3,0,57.0,0,35.3,0,34.6,0,24.9,235.1,0,0
ORD-1070,2024-01-11,13.5,0,31.4,0,64.7,0,65.9,0,27.3,0,15.4,218.2,0,0
ORD-1071,2024-01-12,18.1,0,39.6,0,57.9,0,42.4,0,22.5,0,17.6,198.1,1,0
ORD-1072,2024-01-13,11.6,0,17.1,0,47.6,0,35.1,0,24.3,0,9.0,144.7,0,0
ORD-1073,2024-01-14,26.7,0,30.5,0,53.3,0,45.9,0,10.6,0,16.5,183.5,0,0
ORD-1074,2024-01-15,40.4,0,39.2,0,49.3,0,66.3,0,21.9,0,10.6,227.7,1,0
ORD-1075,2024-01-16,15.9,0,30.0,0,49.0,0,67.5,0,12.6,1,18.5,290.2,0,1
ORD-1076,2024-01-17,19.3,0,23.9,0,46.8,0,47.3,0,21.9,0,22.5,181.7,0,0
ORD-1077,2024-01-18,15.3,0,37.5,0,22.8,0,68.4,0,14.7,0,21.8,180.5,0,0
ORD-1078,2024-01-19,25.0,0,41.1,0,47.7,0,63.5,0,8.4,0,13.1,198.8,0,0
ORD-1079,2024-01-20,26.9,0,48.5,0,38.5,0,6.3,0,14.4,0,14.4,149.0,0,0
ORD-1080,2024-01-21,22.8,0,45.9,0,37.4,0,81.7,0,21.5,0,16.1,225.4,0,0
ORD-1081,2024-01-22,23.7,0,29.1,0,56.8,0,39.6,0,26.4,1,10.3,278.9,0,1
ORD-1082,2024-01-23,20.2,0,37.8,0,78.9,0,68.6,0,7.1,1,16.3,343.4,0,1
ORD-1083,2024-01-24,35.1,0,42.6,0,53.0,0,58.4,0,14.5,0,13.4,217.0,0,0
ORD-1084,2024-01-25,17.2,0,30.6,0,27.9,0,40.8,0,21.1,0,10.2,147.8,0,0
ORD-1085,2024-01-26,40.5,0,7.0,0,37.9,0,78.6,0,11.1,0,9.8,184.9,0,0
ORD-1086,2024-01-27,24.7,0,39.9,0,46.2,0,77.8,0,24.0,1,19.3,347.9,1,1
ORD-1087,2024-01-28,23.5,0,43.4,0,38.8,0,28.0,0,9.8,0,17.2,160.7,0,0
ORD-1088,2024-01-29,16.1,0,41.8,0,25.3,0,23.5,0,21.2,0,13.3,141.2,0,0
ORD-1089,2024-01-30,12.7,0,22.4,0,59.2,0,45.8,0,14.2,0,15.8,170.1,0,0
ORD-1090,2024-01-01,15.7,0,35.0,0,48.7,0,57.5,0,14.4,0,16.8,188.1,0,0
ORD-1091,2024-01-02,42.2,0,51.7,0,55.1,0,34.8,0,46.3,0,9.0,239.1,0,0
ORD-1092,2024-01-03,25.4,0,27.6,0,28.9,0,52.7,0,15.8,1,31.8,273.3,0,1
ORD-1093,2024-01-04,33.8,0,32.4,0,33.9,0,63.6,0,23.3,1,16.8,305.7,0,1
ORD-1094,2024-01-05,20.4,0,63.1,0,52.4,0,34.0,0,14.2,0,16.2,200.3,0,0
ORD-1095,2024-01-06,33.0,0,32.7,0,0.5,0,50.1,0,15.2,0,9.8,141.3,0,0
ORD-1096,2024-01-07,27.9,0,45.5,0,45.9,0,29.8,0,20.3,0,11.6,181.0,1,0
ORD-1097,2024-01-08,32.7,0,29.3,0,42.6,0,46.3,0,29.5,0,13.8,194.2,0,0
ORD-1098,2024-01-09,24.5,0,36.8,0,36.0,0,62.0,0,21.9,0,12.9,194.1,0,0
ORD-1099,2024-01-10,12.3,0,35.2,0,33.0,0,54.2,0,30.0,1,2.9,251.4,0,1
